year,state_abbr,State Name,Population,Violent Crime,Homicide,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny,Motor Vehicle Theft,Total crime
2022,MN,Minnesota," 5,717,184 "," 16,044 ", 182 ," 3,260 "," 10,275 "," 112,448 "," 12,244 "," 83,747 "," 16,457 "," 5,971,841 "
2022,MO,Missouri," 6,177,957 "," 30,149 ", 624 ," 3,387 "," 23,115 "," 144,569 "," 18,276 "," 96,202 "," 30,091 "," 6,524,370 "
2022,MS,Mississippi," 2,940,057 "," 7,204 ", 228 , 754 ," 5,232 "," 51,356 "," 10,296 "," 35,946 "," 5,114 "," 3,056,187 "
2022,MT,Montana," 1,122,867 "," 4,693 ", 50 , 262 ," 3,770 "," 21,543 "," 2,249 "," 16,795 "," 2,499 "," 1,174,728 "
2022,NC,North Carolina," 10,698,973 "," 43,344 ", 862 ," 5,875 "," 33,340 "," 220,841 "," 39,668 "," 159,845 "," 21,328 "," 11,224,076 "
2022,ND,North Dakota," 779,261 "," 2,179 ", 27 , 215 ," 1,495 "," 15,545 "," 2,789 "," 10,764 "," 1,992 "," 814,267 "
2022,NE,Nebraska," 1,967,923 "," 5,565 ", 62 , 572 ," 3,842 "," 37,171 "," 3,591 "," 28,168 "," 5,412 "," 2,052,306 "
2022,NH,New Hampshire," 1,395,231 "," 1,752 ", 25 , 224 , 950 ," 14,105 "," 1,025 "," 12,152 ", 928 ," 1,426,392 "
2022,NJ,New Jersey," 9,261,699 "," 18,794 ", 286 ," 4,410 "," 12,541 "," 131,209 "," 13,708 "," 102,718 "," 14,783 "," 9,560,148 "
2022,NM,New Mexico," 2,113,344 "," 16,494 ", 253 ," 2,338 "," 12,750 "," 63,063 "," 12,764 "," 38,851 "," 11,448 "," 2,271,305 "
2022,NV,Nevada," 3,177,772 "," 14,427 ", 216 ," 2,735 "," 9,605 "," 75,635 "," 13,859 "," 46,188 "," 15,588 "," 3,356,025 "
2022,NY,New York," 19,677,151 "," 84,469 ", 783 ," 22,040 "," 55,841 "," 338,757 "," 31,976 "," 279,810 "," 26,971 "," 20,517,798 "
2022,OH,Ohio," 11,756,058 "," 34,510 ", 718 ," 6,243 "," 21,857 "," 209,575 "," 30,015 "," 151,994 "," 27,566 "," 12,238,536 "
2022,OK,Oklahoma," 4,019,800 "," 16,871 ", 270 ," 1,632 "," 12,656 "," 93,756 "," 19,401 "," 61,734 "," 12,621 "," 4,238,741 "
2022,OR,Oregon," 4,240,137 "," 14,520 ", 192 ," 2,910 "," 9,696 "," 124,459 "," 15,295 "," 85,778 "," 23,386 "," 4,516,373 "
2022,PA,Pennsylvania," 12,972,008 "," 36,307 "," 1,020 "," 8,829 "," 22,630 "," 192,311 "," 19,231 "," 151,931 "," 21,149 "," 13,425,416 "
2022,RI,Rhode Island," 1,093,734 "," 1,885 ", 16 , 269 ," 1,184 "," 14,058 "," 1,401 "," 10,911 "," 1,746 "," 1,125,204 "
2022,SC,South Carolina," 5,282,634 "," 25,955 ", 592 ," 2,145 "," 21,199 "," 121,935 "," 18,632 "," 90,137 "," 13,166 "," 5,576,395 "
2022,SD,South Dakota," 909,824 "," 3,434 ", 39 , 230 ," 2,657 "," 15,804 "," 2,393 "," 11,207 "," 2,204 "," 947,792 "
2022,TN,Tennessee," 7,051,339 "," 43,829 ", 609 ," 4,731 "," 35,795 "," 162,342 "," 22,499 "," 114,293 "," 25,550 "," 7,460,987 "
2022,TX,Texas," 30,029,572 "," 129,702 "," 2,026 "," 21,176 "," 91,498 "," 690,660 "," 100,402 "," 490,808 "," 99,450 "," 31,655,294 "
2022,UT,Utah," 3,380,800 "," 8,175 ", 67 ," 1,002 "," 5,096 "," 64,069 "," 6,818 "," 50,207 "," 7,044 "," 3,523,278 "
2022,VA,Virginia," 8,683,619 "," 20,324 ", 638 ," 3,336 "," 13,727 "," 147,249 "," 10,818 "," 122,473 "," 13,958 "," 9,016,142 "
2022,VT,Vermont," 647,064 "," 1,436 ", 22 , 86 ," 1,090 "," 10,813 ", 984 ," 9,224 ", 605 ," 671,324 "
2022,WA,Washington," 7,785,786 "," 29,247 ", 387 ," 6,756 "," 19,049 "," 261,323 "," 43,837 "," 167,709 "," 49,777 "," 8,363,871 "
2022,WI,Wisconsin," 5,892,539 "," 17,502 ", 314 ," 2,323 "," 12,592 "," 81,611 "," 9,059 "," 57,805 "," 14,747 "," 6,088,492 "
2022,WV,West Virginia," 1,775,156 "," 4,934 ", 81 , 178 ," 3,886 "," 21,836 "," 3,377 "," 16,885 "," 1,574 "," 1,827,907 "
2022,WY,Wyoming," 581,381 "," 1,174 ", 15 , 46 , 748 ," 9,516 "," 1,218 "," 7,354 ", 944 ," 602,396 "
